Price,Mileage,Link,Fuel type,Year
5499,234350km,https://www.otomoto.pl/oferta/audi-a4-b5-1-9-tdi-110km-automat-klima-elektryka-zadbane-jasne-wnetrze-ID6zMSMy.html#03ec1a72c6,Diesel,1997 
2800,168000km,https://www.otomoto.pl/oferta/audi-a4-b5-1-8-125km95rzarejstrowanasedanautomatnowy-rozrzadzadbana-ID6zMjsD.html#03ec1a72c6,Benzyna,1995 
8950,228000km,https://www.otomoto.pl/oferta/audi-a4-b5-avant-1-9tdi-150km-proffesional-line-wyjatkowa-wersja-vag-ID6zAd4a.html#03ec1a72c6,Diesel,2000 
8500,169000km,https://www.otomoto.pl/oferta/audi-a4-1-8-benzyna-xenon-klima-alu-zadbane-polecam-ID6zIC6X.html#03ec1a72c6,Benzyna,2000 
5999,250000km,https://www.otomoto.pl/oferta/audi-a4-lift-1-9tdi-116km-chrom-climatronik-ela-esp-rm-stan-tech-dobry-ID6zB7XU.html#03ec1a72c6,Diesel,2001 
2999,275000km,https://www.otomoto.pl/oferta/audi-a4-1-8-benzyna-ID6zrW0N.html#03ec1a72c6,Benzyna,1994 
5900,318053km,https://www.otomoto.pl/oferta/audi-a4-1-9tdiavantliftclimaalu17asrpfcd-mp3-ID6zFxgi.html#03ec1a72c6,Diesel,2000 
5199,353000km,https://www.otomoto.pl/oferta/audi-a4-1-9tdi-110km-afn-klima-alu-okazja-ID6zN8AN.html#03ec1a72c6,Diesel,1998 
6900,13800km,https://www.otomoto.pl/oferta/audi-a4-a4-1600cm-automat-zadbany-ID6zN2AV.html#03ec1a72c6,Benzyna,1997 
9900,200590km,https://www.otomoto.pl/oferta/audi-a4-1-8-benzyna-125-km-super-stan-klimatronic-100-oryginal-lift-niemcy-ID6zMYHf.html#03ec1a72c6,Benzyna,2000 
1999,300000km,https://www.otomoto.pl/oferta/audi-a4-audi-a4-kombi-1-8-125-km-niemiecka-tylko-1999zl-nie-2-8-v6-ID6zIWpz.html#03ec1a72c6,Benzyna,1998 
8999,351000km,https://www.otomoto.pl/oferta/audi-a4-1-9-tdi-116km-doinwestowane-chrom-klimatronic-elektryka-alufelgi-ID6zkdnu.html#03ec1a72c6,Diesel,2000 
7200,248000km,https://www.otomoto.pl/oferta/audi-a4-1-9-tdi-kombi-lift-z-niemiec-ladna-99rok-ID6zjaRY.html#03ec1a72c6,Diesel,2000 
4600,183645km,https://www.otomoto.pl/oferta/audi-a4-1-8-benzyna-klimatronic-felgi-sliczny-stan-z-niemiec-ID6zMPLs.html#03ec1a72c6,Benzyna,1996 
2499,250000km,https://www.otomoto.pl/oferta/audi-a4-audi-a4-1-6-klimatronik-zarejestrowany-ID6zFv8s.html#03ec1a72c6,Benzyna,1998 
7900,205000km,https://www.otomoto.pl/oferta/audi-a4-2-8-quattro-xenon-bose-skora-ID6zMOVa.html#03ec1a72c6,Benzyna,2000 
2000,200000km,https://www.otomoto.pl/oferta/audi-a4-avant-1-8-20v-benzyna-klima-ID6zMMyq.html#03ec1a72c6,Benzyna,1998 
8000,315000km,https://www.otomoto.pl/oferta/audi-a4-lift-radio-2din-symphony-bose-ID6zGkVn.html#03ec1a72c6,Diesel,2000 
8900,369900km,https://www.otomoto.pl/oferta/audi-a4-lpg-brc-sprowadzony-zarejestrowany-pl-ID6zlTnN.html#03ec1a72c6,Benzyna+LPG,1999 
7500,221500km,https://www.otomoto.pl/oferta/audi-a4-ladna-audi-a4-lift-1-9-tdi-116km-2000r-okazja-ID6zq5LF.html#03ec1a72c6,Diesel,2000 
7500,380000km,https://www.otomoto.pl/oferta/audi-a4-lift-kombi-1-9tdi-115km-klimatronic-alufelgi-esp-hak-ID6zwlYq.html#03ec1a72c6,Diesel,2000 
3500,299000km,https://www.otomoto.pl/oferta/audi-a4-lift-sedan-1-6b-jeden-wl-alufelgi-climatronic-szkody-parkingowe-ID6zA4j1.html#03ec1a72c6,Benzyna,1999 
2700,387000km,https://www.otomoto.pl/oferta/audi-a4-1-9tdi-90km-ID6zK1ih.html#03ec1a72c6,Diesel,1995 
12600,71000km,https://www.otomoto.pl/oferta/audi-a4-oryginalny-przebieg-stan-bardzo-dobry-ID6zqwL2.html#03ec1a72c6,Benzyna,1999 
5800,234700km,https://www.otomoto.pl/oferta/audi-a4-model-poliftowy-ID6zFQfe.html#03ec1a72c6,Benzyna+LPG,1999 
6900,178200km,https://www.otomoto.pl/oferta/audi-a4-audi-a4-1-8-t-150-km-4x4-oplacone-ID6z1zHh.html#03ec1a72c6,Benzyna,1995 
4400,308000km,https://www.otomoto.pl/oferta/audi-a4-1-6-lpg-climatronic-ID6zJTwx.html#03ec1a72c6,Benzyna+LPG,1996 
7700,194290km,https://www.otomoto.pl/oferta/audi-a4-2-4-v6-165-km-szwajcaria-otowy-do-rejestracji-ID6yMlJR.html#03ec1a72c6,Benzyna,2000 
7900,307000km,https://www.otomoto.pl/oferta/audi-a4-zadbany-sedan-z-silnikiem-1-9-afn-ID6zG7EA.html#03ec1a72c6,Diesel,1998 
14900,172000km,https://www.otomoto.pl/oferta/audi-a4-2-0-130-km-klimatronik-alusy-elektryka-zadbany-ID6ztFsP.html#03ec1a72c6,Benzyna,2001 
5300,324000km,https://www.otomoto.pl/oferta/audi-a4-lift-1-9tdi-110koni-najlepszy-motor-z-niemiec-ID6zFBTo.html#03ec1a72c6,Diesel,2000 
2900,222000km,https://www.otomoto.pl/oferta/audi-a4-ID6zrIMJ.html#03ec1a72c6,Benzyna,1996 
9900,202000km,https://www.otomoto.pl/oferta/audi-a4-1-8i-125ps-stan-perfekcyjny-auto-na-gwarancji-auto-bijak-ID6zB6gP.html#3ab0ce186a,Benzyna,1998 
6400,137000km,https://www.otomoto.pl/oferta/audi-a4-audi-a4-1-8-climatronic-sliczna-adr-ID6zdKD2.html#3ab0ce186a,Benzyna,1995 
6500,260000km,https://www.otomoto.pl/oferta/audi-a4-1-6-lpg-20zl-100km-2000r-klima-felgi-dlugo-oc-ID6zLZ7Z.html#3ab0ce186a,Benzyna+LPG,2000 
3700,220000km,https://www.otomoto.pl/oferta/audi-a4-a4-1-8-alu-kubly-super-stan-ID6zJn2t.html#3ab0ce186a,Benzyna,1997 
8900,260000km,https://www.otomoto.pl/oferta/audi-a4-silnik-1-9-tdi-moc-116km-ID6zHVYy.html#3ab0ce186a,Diesel,2001 
7900,226100km,https://www.otomoto.pl/oferta/audi-a4-1-6-benz-xenon-ID6zHSyv.html#3ab0ce186a,Benzyna,2000 
8800,275000km,https://www.otomoto.pl/oferta/audi-a4-audi-a4-kombi-wymieniony-rozrzad-i-po-przegladzie-ID6zLAka.html#3ab0ce186a,Diesel,1999 
3300,321000km,https://www.otomoto.pl/oferta/audi-a4-1-9-tdi-diesel-ID6zLx0c.html#3ab0ce186a,Diesel,1998 
2700,387000km,https://www.otomoto.pl/oferta/audi-a4-1-9tdi-ID6zE2Vo.html#3ab0ce186a,Diesel,1995 
8000,342172km,https://www.otomoto.pl/oferta/audi-a4-lpg-zadbane-bogato-wyposazone-swiatla-dzienne-doswietlenie-drogi-ID6zuISS.html#3ab0ce186a,Benzyna+LPG,2000 
5300,189000km,https://www.otomoto.pl/oferta/audi-a4-99r-maly-przebieg-gwint-felgi-keskin-ID6zHtYa.html#3ab0ce186a,Benzyna,1999 
1000,240000km,https://www.otomoto.pl/oferta/audi-a4-a4-po-wypadku-ID6zKe1t.html#3ab0ce186a,Benzyna,2000 
7700,247000km,https://www.otomoto.pl/oferta/audi-a4-s4-2-4-benzyna-lpg-prinz-sprowadzony-ID6zBIVY.html#3ab0ce186a,Benzyna+LPG,1999 
3950,285000km,https://www.otomoto.pl/oferta/audi-a4-2-6-v6-benzyna-zarejestrowana-klimatronic-ladna-ID6zKyVT.html#3ab0ce186a,Benzyna,1997 
9300,25300km,https://www.otomoto.pl/oferta/audi-a4-audia4-1-8t-z-2000r-ID6zwG86.html#3ab0ce186a,Benzyna,2000 
7999,288000km,https://www.otomoto.pl/oferta/audi-a4-1-9-tdi-zadbany-asr-zarejstrowany-2-komplety-kol-ID6zmIQr.html#3ab0ce186a,Diesel,2000 
6490,214780km,https://www.otomoto.pl/oferta/audi-a4-import-z-niemiec-oplacony-technicznie-perfekt-klima-gwarancja-ID6zcNSC.html#3ab0ce186a,Benzyna,1998 
